title,description,size,availability,price
Стеллаж MS STRONG 3100х1500х300 (5 полок),"
ВхШхГ, мм: 3100х1500х300
Вес, кг: 29.96
",['3100х1500х300'],Есть в наличии,8 980 руб.
Стеллаж СФМ 3500х1250х800 (4 яруса с настилом) Цинк,"
ВхШхГ, мм: 3500х1250х800
",['3500х1250х800'],Есть в наличии,17 440 руб.
Стеллаж СФМ 2000х2000х800 (2 яруса с настилом) RAL,"
ВхШхГ, мм: 2000х2000х800
",['2000х2000х800'],Есть в наличии,13 950 руб.
Стеллаж СФМ 2000х1250х800 (4 яруса с настилом) RAL,"
ВхШхГ, мм: 2000х1250х800
",['2000х1250х800'],Есть в наличии,16 380 руб.
Стеллаж металлический Профи-Т 2000х1240х1005 (3 сплошные оцинкованные мет. усиленные полки),"
ВхШхГ, мм: 2000х1240х1005
Вес, кг: 58
",['2000х1240х1005'],Есть в наличии,22 450 руб.
Стеллаж металлический Профи-Т 2500х1240х1005 (4 перфорированные оцинкованные мет. полки),"
ВхШхГ, мм: 2500х1240х1005
Вес, кг: 76
",['2500х1240х1005'],Есть в наличии,33 340 руб.
Стеллаж односторонний №30 (1835х950х510),"
ВхШхГ, мм: 1835х950х510
Вес, кг: 76
",['1835х950х510'],Есть в наличии,54 830 руб.
Стеллаж с пластиковыми ящиками B1 05-04-04,"
ВхШхГ, мм: 2020х1150х330
",['2020х1150х330'],Есть в наличии,54 850 руб.
Стеллаж мобильный №221 (1415х950х610),"
ВхШхГ, мм: 1415х950х610
Вес, кг: 100
",['1415х950х610'],Есть в наличии,73 400 руб.
Стеллаж грузовой СТСМ 3000х3600х1000 (2 яруса),"
ВхШхГ, мм: 3000х3600х1000
",['3000х3600х1000'],Есть в наличии,29 730 руб.
Стеллаж СКУ 1264 (2485),"
ВхШхГ, мм: 2485х1266х600
Вес, кг: 35
",['2485х1266х600'],Есть в наличии,16 410 руб.
Стеллаж металлический Профи-Т 2000х1540х455 (3 перфорированные оцинкованные мет. полки),"
ВхШхГ, мм: 2000х1540х455
Вес, кг: 45
",['2000х1540х455'],Есть в наличии,20 170 руб.
Стеллаж металлический Профи-Т 3000х1845х455 (5 перфорированных оцинкованных мет. усиленных полок),"
ВхШхГ, мм: 3000х1845х455
Вес, кг: 82
",['3000х1845х455'],Есть в наличии,41 820 руб.
Стеллаж металлический Профи-Т 2500х1540х455 (4 полки из фанеры),"
ВхШхГ, мм: 2500х1540х455
Вес, кг: 57
",['2500х1540х455'],Есть в наличии,16 620 руб.
