title,availability,price,category,shop,weight
Шкаф медицинский односекционный стеллаж-ящик ШМСт СКБ-Я,1,32490.0,Медицинская мебель,Железная мебель,['51.2']
Шкаф медицинский двухсекционный одностворчатый с ящиками ШМЯ СКБ-1С,1,33730.0,Медицинская мебель,Железная мебель,['57.5']
Шкаф медицинский - стеллаж ШМСт СКБ-1,0,18610.0,Медицинская мебель,Железная мебель,['32.3']
Шкаф медицинский двухсекционный одностворчатый ШМЛС СКБ,1,11670.0,Медицинская мебель,Железная мебель,['44']
Шкаф медицинский двухсекционный одностворчатый ШМЛ СКБ,1,12190.0,Медицинская мебель,Железная мебель,['44']
Шкаф медицинский одностворчатый двухсекционный с ящиками ШМЛЯ СКБ-С,1,14250.0,Медицинская мебель,Железная мебель,['45.6']
Шкаф медицинский односекционный двухстворчатый ШМЛ СБК-2,1,16020.0,Медицинская мебель,Железная мебель,[]
Шкаф медицинский двухсекционный двухстворчатый ШМЛ2С СКБ,1,15510.0,Медицинская мебель,Железная мебель,[]
Шкаф медицинский ШМЛХ СКБ,1,17950.0,Медицинская мебель,Железная мебель,[]
Шкаф медицинский двухсекционный двухстворчатый ШМ2Л СКБ,1,16780.0,Медицинская мебель,Железная мебель,[]
Шкаф для медикаментов металлический ШМп (белый),1,24980.0,Медицинская мебель,Железная мебель,[]
Шкаф для медикаментов металлический ШМп.1 (белый),1,20220.0,Медицинская мебель,Железная мебель,[]
Шкаф для медикаментов стекло/металл ШМ-1 (белый),1,24980.0,Медицинская мебель,Железная мебель,[]
Шкаф для медикаментов стекло/металл ШМ-1.1 (белый),1,20220.0,Медицинская мебель,Железная мебель,[]
Шкаф для медикаментов в металлической рамке (стекло) ШМп-4 (белый),1,36620.0,Медицинская мебель,Железная мебель,[]
Шкаф для медикаментов в металлической рамке (стекло) ШМп-4.1 (белый),1,31710.0,Медицинская мебель,Железная мебель,[]
"Шкаф металлический для медикаментов, с ящиком ШдМп-2 (белый)",1,31970.0,Медицинская мебель,Железная мебель,[]
"Шкаф металлический для медикаментов, с ящиком ШдМп-2.1 (белый)",1,26530.0,Медицинская мебель,Железная мебель,[]
"Шкаф металлический для медикаментов (стекло), с ящиком ШдМп-3 (белый)",1,31970.0,Медицинская мебель,Железная мебель,[]
